"rate","rate2","name","count","population","code","long","lat","len"
7,7,"AGUASCALIENTES, AGUASCALIENTES",31,892036,1001,-102.296,21.88,6
0,0,"ASIENTOS, AGUASCALIENTES",0,50908,1002,-102.089,22.238,6
13.5,13.5,"CALVILLO, AGUASCALIENTES",4,59220,1003,-102.719,21.847,6
0,0,"COSÍO, AGUASCALIENTES",0,16694,1004,-102.3,22.366,6
9.6,9.6,"EL LLANO, AGUASCALIENTES",1,20878,1010,-101.965,21.919,6
3.5,3.5,"JESÚS MARÍA, AGUASCALIENTES",2,115853,1005,-102.343,21.961,6
4.3,4.3,"PABELLÓN DE ARTEAGA, AGUASCALIENTES",1,46026,1006,-102.277,22.149,6
3.7,3.7,"RINCÓN DE ROMOS, AGUASCALIENTES",1,54230,1007,-102.323,22.229,6
0,0,"SAN FRANCISCO DE LOS ROMO, AGUASCALIENTES",0,42201,1011,-102.273,22.072,6
0,0,"SAN JOSÉ DE GRACIA, AGUASCALIENTES",0,9444,1008,-102.416,22.15,6
18.1,18.1,"TEPEZALÁ, AGUASCALIENTES",2,22132,1009,-102.167,22.224,6
41.2,41.2,"ENSENADA, BAJA CALIFORNIA",111,539129,2001,-116.595,31.809,6
14.9,14.9,"MEXICALI, BAJA CALIFORNIA",79,1059270,2002,-115.476,32.641,6
65.6,65.6,"PLAYAS DE ROSARITO, BAJA CALIFORNIA",36,109809,2005,-117.054,32.364,6
59.2,59.2,"TECATE, BAJA CALIFORNIA",34,114832,2003,-116.627,32.573,6
111.1,111.1,"TIJUANA, BAJA CALIFORNIA",992,1786149,2004,-117.019,32.532,6
14.2,14.2,"COMONDÚ, BAJA CALIFORNIA SUR",6,84246,3001,-111.673,25.034,6
48.5,48.5,"LA PAZ, BAJA CALIFORNIA SUR",75,309330,3003,-110.311,24.142,6
8.8,8.8,"LORETO, BAJA CALIFORNIA SUR",1,22739,3009,-111.343,26.013,6
40.8,40.8,"LOS CABOS, BAJA CALIFORNIA SUR",68,333670,3008,-109.695,23.062,6
39.2,39.2,"MULEGÉ, BAJA CALIFORNIA SUR",14,71346,3002,-112.268,27.337,6
12.9,12.9,"CALAKMUL, CAMPECHE",2,31068,4010,-89.397,18.505,6
0,0,"CALKINÍ, CAMPECHE",0,59672,4001,-90.051,20.371,6
3.4,3.4,"CAMPECHE, CAMPECHE",5,296741,4002,-90.54,19.845,6
38.2,38.2,"CANDELARIA, CAMPECHE",9,47121,4011,-91.046,18.183,6
3.1,3.1,"CARMEN, CAMPECHE",4,256591,4003,-91.836,18.638,6
2.1,2.1,"CHAMPOTÓN, CAMPECHE",1,94658,4004,-90.724,19.356,6
6.5,6.5,"ESCÁRCEGA, CAMPECHE",2,61808,4009,-90.732,18.604,6
0,0,"HECELCHAKÁN, CAMPECHE",0,31618,4005,-90.135,20.177,6
0,0,"HOPELCHÉN, CAMPECHE",0,42592,4006,-89.845,19.746,6
22.4,22.4,"PALIZADA, CAMPECHE",1,8934,4007,-92.091,18.254,6
0,0,"TENABO, CAMPECHE",0,10950,4008,-90.226,20.04,6
31.5,31.5,"ACACOYAGUA, CHIAPAS",3,19058,7001,-92.675,15.341,6
6.1,6.1,"ACALA, CHIAPAS",1,32567,7002,-92.808,16.552,6
12.8,12.8,"ACAPETAHUA, CHIAPAS",2,31330,7003,-92.689,15.283,6
113.3,113.3,"ALDAMA, CHIAPAS",3,5294,7113,-92.688,16.918,6
0,0,"ALTAMIRANO, CHIAPAS",0,35009,7004,-92.039,16.736,6
0,0,"AMATÁN, CHIAPAS",0,23379,7005,-92.819,17.373,6
0,0,"AMATENANGO DE LA FRONTERA, CHIAPAS",0,33934,7006,-92.115,15.435,6
0,0,"AMATENANGO DEL VALLE, CHIAPAS",0,9342,7007,-92.435,16.529,6
14.7,14.7,"ANGEL ALBINO CORZO, CHIAPAS",2,27265,7008,-92.725,15.873,6
28,28,"ARRIAGA, CHIAPAS",6,42894,7009,-93.899,16.236,6
0,0,"BEJUCAL DE OCAMPO, CHIAPAS",0,8496,7010,-92.158,15.455,6
0,0,"BELLA VISTA, CHIAPAS",0,21302,7011,-92.245,15.583,6
30.6,30.6,"BENEMÉRITO DE LAS AMÉRICAS, CHIAPAS",3,19622,7114,-90.653,16.516,6
7.6,7.6,"BERRIOZÁBAL, CHIAPAS",2,52362,7012,-93.273,16.8,6
0,0,"BOCHIL, CHIAPAS",0,34916,7013,-92.89,16.996,6
12.5,12.5,"CACAHOATÁN, CHIAPAS",3,48075,7015,-92.168,14.99,6
10.6,10.6,"CATAZAJÁ, CHIAPAS",1,18796,7016,-92.016,17.728,6
13.3,13.3,"CHALCHIHUITÁN, CHIAPAS",1,15048,7022,-92.618,16.963,6
11.5,11.5,"CHAMULA, CHIAPAS",5,86958,7023,-92.689,16.788,6
33.8,33.8,"CHANAL, CHIAPAS",2,11844,7024,-92.26,16.66,6
0,0,"CHAPULTENANGO, CHIAPAS",0,7904,7025,-93.13,17.34,6
14.8,14.8,"CHENALHÓ, CHIAPAS",3,40423,7026,-92.626,16.894,6
11.7,11.7,"CHIAPA DE CORZO, CHIAPAS",6,102654,7027,-93.016,16.708,6
0,0,"CHIAPILLA, CHIAPAS",0,5997,7028,-92.72,16.57,6
0,0,"CHICOASÉN, CHIAPAS",0,5296,7029,-93.105,16.967,6
11.3,11.3,"CHICOMUSELO, CHIAPAS",2,35498,7030,-92.283,15.745,6
4.8,4.8,"CHILÓN, CHIAPAS",3,126146,7031,-92.272,17.105,6
11.7,11.7,"CINTALAPA, CHIAPAS",5,85466,7017,-93.72,16.699,6
0,0,"COAPILLA, CHIAPAS",0,9368,7018,-93.159,17.131,6
8.5,8.5,"COMITÁN DE DOMÍNGUEZ, CHIAPAS",7,164054,7019,-92.136,16.252,6
0,0,"COPAINALÁ, CHIAPAS",0,22808,7021,-93.211,17.094,6
0,0,"EL BOSQUE, CHIAPAS",0,22229,7014,-92.721,17.062,6
0,0,"EL PORVENIR, CHIAPAS",0,13912,7070,-92.28,15.456,6
24.1,24.1,"ESCUINTLA, CHIAPAS",4,33224,7032,-92.659,15.319,6
0,0,"FRANCISCO LEÓN, CHIAPAS",0,7743,7033,-93.273,17.286,6
12.8,12.8,"FRONTERA COMALAPA, CHIAPAS",5,77897,7034,-92.141,15.66,6
41.3,41.3,"FRONTERA HIDALGO, CHIAPAS",3,14540,7035,-92.176,14.778,6
16,16,"HUEHUETÁN, CHIAPAS",3,37466,7037,-92.384,15.019,6
7.9,7.9,"HUITIUPÁN, CHIAPAS",1,25286,7039,-92.686,17.173,6
0,0,"HUIXTÁN, CHIAPAS",0,23930,7038,-92.455,16.712,6
3.5,3.5,"HUIXTLA, CHIAPAS",1,56450,7040,-92.466,15.138,6
16.9,16.9,"IXHUATÁN, CHIAPAS",1,11804,7042,-93.008,17.293,6
0,0,"IXTACOMITÁN, CHIAPAS",0,11139,7043,-93.097,17.431,6
0,0,"IXTAPA, CHIAPAS",0,27987,7044,-92.906,16.804,6
32.2,32.2,"IXTAPANGAJOYA, CHIAPAS",1,6212,7045,-93.002,17.498,6
0,0,"JIQUIPILAS, CHIAPAS",0,40828,7046,-93.65,16.668,6
0,0,"JITOTOL, CHIAPAS",0,21760,7047,-92.862,17.068,6
8.7,8.7,"JUÁREZ, CHIAPAS",1,22895,7048,-93.193,17.608,6
4,4,"LA CONCORDIA, CHIAPAS",1,49554,7020,-92.688,16.117,6
0,0,"LA GRANDEZA, CHIAPAS",0,7817,7036,-92.226,15.51,6
0,0,"LA INDEPENDENCIA, CHIAPAS",0,47029,7041,-92.023,16.254,6
39.1,39.1,"LA LIBERTAD, CHIAPAS",1,5113,7050,-91.719,17.69,6
17.5,17.5,"LARRÁINZAR, CHIAPAS",2,22814,7049,-92.713,16.884,6
6.3,6.3,"LAS MARGARITAS, CHIAPAS",4,127099,7052,-91.982,16.316,6
0,0,"LAS ROSAS, CHIAPAS",0,27460,7075,-92.37,16.364,6
4.7,4.7,"LA TRINITARIA, CHIAPAS",2,85895,7099,-92.05,16.119,6
27.8,27.8,"MAPASTEPEC, CHIAPAS",7,50394,7051,-92.892,15.441,6
0,0,"MARAVILLA TENEJAPA, CHIAPAS",0,12416,7115,-91.295,16.14,6
89.1,89.1,"MARQUÉS DE COMILLAS, CHIAPAS",5,11220,7116,-90.765,16.333,6
0,0,"MAZAPA DE MADERO, CHIAPAS",0,8620,7053,-92.188,15.388,6
0,0,"MAZATÁN, CHIAPAS",0,29618,7054,-92.449,14.863,6
72.5,72.5,"METAPA, CHIAPAS",2,5520,7055,-92.191,14.837,6
0,0,"MITONTIC, CHIAPAS",0,12804,7056,-92.63,16.864,6
0,0,"MONTECRISTO DE GUERRERO, CHIAPAS",0,7586,7117,-92.619,15.694,6
0,0,"MOTOZINTLA, CHIAPAS",0,79715,7057,-92.248,15.363,6
0,0,"NICOLÁS RUÍZ, CHIAPAS",0,4682,7058,-92.585,16.437,6
7.1,7.1,"OCOSINGO, CHIAPAS",8,226597,7059,-92.096,16.908,6
0,0,"OCOTEPEC, CHIAPAS",0,12870,7060,-93.164,17.225,6
6.4,6.4,"OCOZOCOAUTLA DE ESPINOSA, CHIAPAS",3,93382,7061,-93.376,16.761,6
32.4,32.4,"OSTUACÁN, CHIAPAS",3,18507,7062,-93.337,17.406,6
