"CVE_ENT","CVE_MUN","id"
"01","011","01011"
"01","001","01001"
"01","007","01007"
"01","009","01009"
"01","004","01004"
"01","006","01006"
"15","026","15026"
"15","045","15045"
"15","047","15047"
"15","051","15051"
"15","067","15067"
"15","071","15071"
"15","079","15079"
"15","087","15087"
"15","095","15095"
"15","106","15106"
"15","112","15112"
"02","005","02005"
"02","004","02004"
"02","001","02001"
"02","002","02002"
"02","003","02003"
"05","030","05030"
"05","027","05027"
"05","026","05026"
"05","005","05005"
"05","035","05035"
"05","033","05033"
"05","028","05028"
"05","024","05024"
"05","018","05018"
"05","017","05017"
"05","011","05011"
"05","008","05008"
"05","001","05001"
"08","037","08037"
"08","002","08002"
"08","055","08055"
"08","001","08001"
"08","003","08003"
"08","011","08011"
"08","036","08036"
"08","062","08062"
"08","058","08058"
"08","019","08019"
"09","002","09002"
"09","005","09005"
"09","016","09016"
"09","006","09006"
"09","017","09017"
"09","007","09007"
"10","007","10007"
"10","013","10013"
"11","007","11007"
"11","004","11004"
"11","005","11005"
"11","046","11046"
"11","011","11011"
"11","003","11003"
"11","042","11042"
"11","033","11033"
"11","023","11023"
"11","037","11037"
"11","001","11001"
"11","029","11029"
"11","044","11044"
"11","027","11027"
"11","017","11017"
"11","020","11020"
"13","002","13002"
"13","016","13016"
"13","022","13022"
"13","038","13038"
"13","051","13051"
"13","057","13057"
"13","061","13061"
"13","052","13052"
"13","074","13074"
"13","044","13044"
"13","063","13063"
"13","076","13076"
"13","010","13010"
"13","048","13048"
"13","065","13065"
"13","005","13005"
"14","016","14016"
"14","018","14018"
"14","033","14033"
"14","035","14035"
"14","044","14044"
"14","051","14051"
"14","053","14053"
"14","063","14063"
"14","070","14070"
"14","073","14073"
"14","083","14083"
"14","097","14097"
"14","109","14109"
"14","120","14120"
"14","123","14123"
"15","011","15011"
"15","013","15013"
"15","016","15016"
"15","028","15028"
"15","031","15031"
"15","033","15033"
"15","035","15035"
"15","057","15057"
"15","058","15058"
"15","065","15065"
"15","075","15075"
"15","093","15093"
"15","099","15099"
"15","100","15100"
"15","104","15104"
"15","121","15121"
"16","108","16108"
"16","088","16088"
"16","027","16027"
"16","018","16018"
"16","036","16036"
"16","054","16054"
"16","030","16030"
"16","086","16086"
"16","106","16106"
"17","007","17007"
"17","009","17009"
"17","020","17020"
"19","015","19015"
"19","020","19020"
"19","013","19013"
"19","022","19022"
"19","033","19033"
"19","037","19037"
"19","048","19048"
"19","042","19042"
"19","038","19038"
"19","031","19031"
"19","026","19026"
"19","019","19019"
"19","009","19009"
"19","018","19018"
"19","039","19039"
"20","030","20030"
"20","014","20014"
"20","124","20124"
"20","308","20308"
"20","079","20079"
"20","043","20043"
"20","005","20005"
"20","010","20010"
"20","057","20057"
"20","198","20198"
"21","063","21063"
"21","071","21071"
"21","086","21086"
"21","118","21118"
"21","178","21178"
"21","197","21197"
"21","164","21164"
"21","144","21144"
"21","004","21004"
"21","115","21115"
"21","154","21154"
"21","194","21194"
"21","001","21001"
"21","015","21015"
"21","114","21114"
"21","163","21163"
"21","110","21110"
"21","132","21132"
"22","014","22014"
"22","016","22016"
"22","008","22008"
"22","012","22012"
"22","006","22006"
"24","050","24050"
"24","032","24032"
"24","028","24028"
"25","002","25002"
"25","001","25001"
"25","011","25011"
"25","013","25013"
"25","015","25015"
"25","018","25018"
"25","006","25006"
"26","012","26012"
"26","025","26025"
"26","021","26021"
"26","018","26018"
"26","029","26029"
"26","030","26030"
"27","008","27008"
"27","014","27014"
"27","002","27002"
"27","006","27006"
"27","005","27005"
"27","004","27004"
"28","038","28038"
"28","003","28003"
"28","009","28009"
"28","032","28032"
"28","034","28034"
"28","020","28020"
"28","042","28042"
"28","016","28016"
"28","013","28013"
"28","012","28012"
"28","041","28041"
"28","008","28008"
"28","019","28019"
"28","002","28002"
"28","040","28040"
"28","030","28030"
"28","022","28022"
"28","033","28033"
"29","006","29006"
"29","012","29012"
"29","015","29015"
"29","019","29019"
"29","021","29021"
"29","023","29023"
"29","025","29025"
"29","027","29027"
"29","032","29032"
"29","041","29041"
"29","042","29042"
"29","044","29044"
"29","020","29020"
"30","003","30003"
"30","014","30014"
"30","028","30028"
"30","031","30031"
"30","039","30039"
"30","044","30044"
"30","045","30045"
"30","048","30048"
"30","049","30049"
"30","053","30053"
"30","054","30054"
"30","068","30068"
"30","070","30070"
"30","077","30077"
"30","082","30082"
"30","084","30084"
"30","085","30085"
"30","089","30089"
"30","091","30091"
"30","094","30094"
"30","099","30099"
"30","105","30105"
"30","108","30108"
"30","111","30111"
"30","115","30115"
"30","116","30116"
"30","118","30118"
"30","131","30131"
"30","138","30138"
"30","142","30142"
"30","144","30144"
"30","169","30169"
"30","172","30172"
"30","174","30174"
"30","175","30175"
"30","181","30181"
"30","189","30189"
"30","193","30193"
"30","196","30196"
"30","199","30199"
"30","204","30204"
"30","206","30206"
"30","208","30208"
"31","100","31100"
"31","050","31050"
"31","101","31101"
"31","059","31059"
"32","017","32017"
"32","036","32036"
"32","012","32012"
"32","008","32008"
"09","012","09012"
"09","013","09013"
"09","015","09015"
"09","010","09010"
"09","003","09003"
