"state_code","date","population"
1,1990-01-01,739004
1,1990-02-01,740973
1,1990-03-01,742945
1,1990-04-01,744919
1,1990-05-01,746896
1,1990-06-01,748874
1,1990-07-01,750856
1,1990-08-01,752839
1,1990-09-01,754825
1,1990-10-01,756812
1,1990-11-01,758802
1,1990-12-01,760794
1,1991-01-01,762789
1,1991-02-01,764785
1,1991-03-01,766783
1,1991-04-01,768783
1,1991-05-01,770785
1,1991-06-01,772788
1,1991-07-01,774794
1,1991-08-01,776801
1,1991-09-01,778809
1,1991-10-01,780820
1,1991-11-01,782832
1,1991-12-01,784845
1,1992-01-01,786861
1,1992-02-01,788877
1,1992-03-01,790896
1,1992-04-01,792915
1,1992-05-01,794936
1,1992-06-01,796959
1,1992-07-01,798983
1,1992-08-01,801008
1,1992-09-01,803034
1,1992-10-01,805061
1,1992-11-01,807090
1,1992-12-01,809119
1,1993-01-01,811150
1,1993-02-01,813180
1,1993-03-01,815212
1,1993-04-01,817244
1,1993-05-01,819276
1,1993-06-01,821309
1,1993-07-01,823342
1,1993-08-01,825374
1,1993-09-01,827407
1,1993-10-01,829440
1,1993-11-01,831474
1,1993-12-01,833507
1,1994-01-01,835541
1,1994-02-01,837575
1,1994-03-01,839609
1,1994-04-01,841644
1,1994-05-01,843679
1,1994-06-01,845714
1,1994-07-01,847751
1,1994-08-01,849787
1,1994-09-01,851822
1,1994-10-01,853854
1,1994-11-01,855881
1,1994-12-01,857903
1,1995-01-01,859916
1,1995-02-01,861919
1,1995-03-01,863910
1,1995-04-01,865889
1,1995-05-01,867852
1,1995-06-01,869798
1,1995-07-01,871727
1,1995-08-01,873635
1,1995-09-01,875523
1,1995-10-01,877390
1,1995-11-01,879238
1,1995-12-01,881066
1,1996-01-01,882874
1,1996-02-01,884661
1,1996-03-01,886429
1,1996-04-01,888177
1,1996-05-01,889906
1,1996-06-01,891614
1,1996-07-01,893303
1,1996-08-01,894972
1,1996-09-01,896623
1,1996-10-01,898258
1,1996-11-01,899878
1,1996-12-01,901485
1,1997-01-01,903081
1,1997-02-01,904667
1,1997-03-01,906245
