"state_code","age_group","sex","date","population"
1,0,0,1990-01-01,179375
1,0,0,1990-02-01,179671
1,0,0,1990-03-01,179966
1,0,0,1990-04-01,180261
1,0,0,1990-05-01,180556
1,0,0,1990-06-01,180850
1,0,0,1990-07-01,181144
1,0,0,1990-08-01,181437
1,0,0,1990-09-01,181729
1,0,0,1990-10-01,182022
1,0,0,1990-11-01,182313
1,0,0,1990-12-01,182605
1,0,0,1991-01-01,182896
1,0,0,1991-02-01,183186
1,0,0,1991-03-01,183476
1,0,0,1991-04-01,183766
1,0,0,1991-05-01,184055
1,0,0,1991-06-01,184343
1,0,0,1991-07-01,184632
1,0,0,1991-08-01,184919
1,0,0,1991-09-01,185207
1,0,0,1991-10-01,185494
1,0,0,1991-11-01,185780
1,0,0,1991-12-01,186066
1,0,0,1992-01-01,186352
1,0,0,1992-02-01,186637
1,0,0,1992-03-01,186922
1,0,0,1992-04-01,187207
1,0,0,1992-05-01,187491
1,0,0,1992-06-01,187775
1,0,0,1992-07-01,188059
1,0,0,1992-08-01,188342
1,0,0,1992-09-01,188625
1,0,0,1992-10-01,188907
1,0,0,1992-11-01,189189
1,0,0,1992-12-01,189471
1,0,0,1993-01-01,189752
1,0,0,1993-02-01,190033
1,0,0,1993-03-01,190313
1,0,0,1993-04-01,190592
1,0,0,1993-05-01,190871
1,0,0,1993-06-01,191150
1,0,0,1993-07-01,191428
1,0,0,1993-08-01,191705
1,0,0,1993-09-01,191981
1,0,0,1993-10-01,192258
1,0,0,1993-11-01,192533
1,0,0,1993-12-01,192809
1,0,0,1994-01-01,193085
1,0,0,1994-02-01,193360
1,0,0,1994-03-01,193636
1,0,0,1994-04-01,193912
1,0,0,1994-05-01,194189
1,0,0,1994-06-01,194466
1,0,0,1994-07-01,194744
1,0,0,1994-08-01,195022
1,0,0,1994-09-01,195300
1,0,0,1994-10-01,195579
1,0,0,1994-11-01,195858
1,0,0,1994-12-01,196136
1,0,0,1995-01-01,196413
1,0,0,1995-02-01,196690
1,0,0,1995-03-01,196964
1,0,0,1995-04-01,197238
1,0,0,1995-05-01,197509
1,0,0,1995-06-01,197777
1,0,0,1995-07-01,198044
1,0,0,1995-08-01,198307
1,0,0,1995-09-01,198567
1,0,0,1995-10-01,198824
1,0,0,1995-11-01,199078
1,0,0,1995-12-01,199328
1,0,0,1996-01-01,199575
1,0,0,1996-02-01,199819
1,0,0,1996-03-01,200058
1,0,0,1996-04-01,200294
1,0,0,1996-05-01,200526
1,0,0,1996-06-01,200754
1,0,0,1996-07-01,200979
1,0,0,1996-08-01,201198
1,0,0,1996-09-01,201414
1,0,0,1996-10-01,201627
1,0,0,1996-11-01,201836
1,0,0,1996-12-01,202042
1,0,0,1997-01-01,202246
1,0,0,1997-02-01,202448
1,0,0,1997-03-01,202647
1,0,0,1997-04-01,202845
1,0,0,1997-05-01,203041
1,0,0,1997-06-01,203237
1,0,0,1997-07-01,203432
1,0,0,1997-08-01,203626
1,0,0,1997-09-01,203820
1,0,0,1997-10-01,204013
1,0,0,1997-11-01,204205
1,0,0,1997-12-01,204397
1,0,0,1998-01-01,204587
1,0,0,1998-02-01,204776
1,0,0,1998-03-01,204964
1,0,0,1998-04-01,205151
1,0,0,1998-05-01,205336
1,0,0,1998-06-01,205520
1,0,0,1998-07-01,205702
1,0,0,1998-08-01,205881
1,0,0,1998-09-01,206060
1,0,0,1998-10-01,206237
1,0,0,1998-11-01,206413
1,0,0,1998-12-01,206589
1,0,0,1999-01-01,206765
1,0,0,1999-02-01,206942
1,0,0,1999-03-01,207118
1,0,0,1999-04-01,207296
1,0,0,1999-05-01,207475
1,0,0,1999-06-01,207656
1,0,0,1999-07-01,207840
1,0,0,1999-08-01,208025
1,0,0,1999-09-01,208213
1,0,0,1999-10-01,208404
1,0,0,1999-11-01,208598
1,0,0,1999-12-01,208795
1,0,0,2000-01-01,208996
1,0,0,2000-02-01,209200
1,0,0,2000-03-01,209407
1,0,0,2000-04-01,209619
1,0,0,2000-05-01,209834
1,0,0,2000-06-01,210054
1,0,0,2000-07-01,210278
1,0,0,2000-08-01,210506
1,0,0,2000-09-01,210738
1,0,0,2000-10-01,210974
1,0,0,2000-11-01,211214
1,0,0,2000-12-01,211457
1,0,0,2001-01-01,211702
1,0,0,2001-02-01,211950
1,0,0,2001-03-01,212199
1,0,0,2001-04-01,212450
1,0,0,2001-05-01,212703
1,0,0,2001-06-01,212956
1,0,0,2001-07-01,213210
1,0,0,2001-08-01,213463
1,0,0,2001-09-01,213717
1,0,0,2001-10-01,213971
1,0,0,2001-11-01,214224
1,0,0,2001-12-01,214478
1,0,0,2002-01-01,214731
1,0,0,2002-02-01,214983
1,0,0,2002-03-01,215235
1,0,0,2002-04-01,215487
1,0,0,2002-05-01,215738
1,0,0,2002-06-01,215988
1,0,0,2002-07-01,216238
1,0,0,2002-08-01,216486
1,0,0,2002-09-01,216734
1,0,0,2002-10-01,216981
1,0,0,2002-11-01,217227
1,0,0,2002-12-01,217473
1,0,0,2003-01-01,217719
1,0,0,2003-02-01,217964
1,0,0,2003-03-01,218210
1,0,0,2003-04-01,218455
1,0,0,2003-05-01,218700
1,0,0,2003-06-01,218945
1,0,0,2003-07-01,219191
1,0,0,2003-08-01,219436
1,0,0,2003-09-01,219682
1,0,0,2003-10-01,219927
1,0,0,2003-11-01,220172
1,0,0,2003-12-01,220417
1,0,0,2004-01-01,220660
1,0,0,2004-02-01,220901
1,0,0,2004-03-01,221141
1,0,0,2004-04-01,221380
1,0,0,2004-05-01,221615
1,0,0,2004-06-01,221849
1,0,0,2004-07-01,222080
1,0,0,2004-08-01,222307
1,0,0,2004-09-01,222531
1,0,0,2004-10-01,222752
1,0,0,2004-11-01,222969
1,0,0,2004-12-01,223182
1,0,0,2005-01-01,223391
1,0,0,2005-02-01,223596
1,0,0,2005-03-01,223796
1,0,0,2005-04-01,223991
1,0,0,2005-05-01,224181
1,0,0,2005-06-01,224365
1,0,0,2005-07-01,224545
1,0,0,2005-08-01,224718
1,0,0,2005-09-01,224886
1,0,0,2005-10-01,225049
1,0,0,2005-11-01,225208
1,0,0,2005-12-01,225364
1,0,0,2006-01-01,225515
1,0,0,2006-02-01,225664
1,0,0,2006-03-01,225810
1,0,0,2006-04-01,225954
1,0,0,2006-05-01,226097
1,0,0,2006-06-01,226239
1,0,0,2006-07-01,226380
1,0,0,2006-08-01,226520
