"rate","rate2","name","count","population","code","long","lat","len"
7,7,"AGUASCALIENTES, AGUASCALIENTES",31,888506,1001,-102.296,21.88,6
0,0,"ASIENTOS, AGUASCALIENTES",0,50693,1002,-102.089,22.238,6
20.3,20.3,"CALVILLO, AGUASCALIENTES",6,59009,1003,-102.719,21.847,6
12,12,"COSÍO, AGUASCALIENTES",1,16623,1004,-102.3,22.366,6
19.2,19.2,"EL LLANO, AGUASCALIENTES",2,20794,1010,-101.965,21.919,6
5.2,5.2,"JESÚS MARÍA, AGUASCALIENTES",3,115288,1005,-102.343,21.961,6
4.4,4.4,"PABELLÓN DE ARTEAGA, AGUASCALIENTES",1,45838,1006,-102.277,22.149,6
7.4,7.4,"RINCÓN DE ROMOS, AGUASCALIENTES",2,54006,1007,-102.323,22.229,6
0,0,"SAN FRANCISCO DE LOS ROMO, AGUASCALIENTES",0,41981,1011,-102.273,22.072,6
0,0,"SAN JOSÉ DE GRACIA, AGUASCALIENTES",0,9403,1008,-102.416,22.15,6
18.2,18.2,"TEPEZALÁ, AGUASCALIENTES",2,22036,1009,-102.167,22.224,6
35.4,35.4,"ENSENADA, BAJA CALIFORNIA",95,536618,2001,-116.595,31.809,6
13.8,13.8,"MEXICALI, BAJA CALIFORNIA",73,1054861,2002,-115.476,32.641,6
102.5,102.5,"PLAYAS DE ROSARITO, BAJA CALIFORNIA",56,109226,2005,-117.054,32.364,6
73.5,73.5,"TECATE, BAJA CALIFORNIA",42,114341,2003,-116.627,32.573,6
105,105,"TIJUANA, BAJA CALIFORNIA",933,1777754,2004,-117.019,32.532,6
28.7,28.7,"COMONDÚ, BAJA CALIFORNIA SUR",12,83594,3001,-111.673,25.034,6
102.4,102.4,"LA PAZ, BAJA CALIFORNIA SUR",157,306746,3003,-110.311,24.142,6
26.6,26.6,"LORETO, BAJA CALIFORNIA SUR",3,22524,3009,-111.343,26.013,6
120,120,"LOS CABOS, BAJA CALIFORNIA SUR",198,330053,3008,-109.695,23.062,6
19.8,19.8,"MULEGÉ, BAJA CALIFORNIA SUR",7,70748,3002,-112.268,27.337,6
19.4,19.4,"CALAKMUL, CAMPECHE",3,30889,4010,-89.397,18.505,6
0,0,"CALKINÍ, CAMPECHE",0,59407,4001,-90.051,20.371,6
3.4,3.4,"CAMPECHE, CAMPECHE",5,295408,4002,-90.54,19.845,6
25.6,25.6,"CANDELARIA, CAMPECHE",6,46888,4011,-91.046,18.183,6
4.7,4.7,"CARMEN, CAMPECHE",6,255305,4003,-91.836,18.638,6
4.2,4.2,"CHAMPOTÓN, CAMPECHE",2,94209,4004,-90.724,19.356,6
13,13,"ESCÁRCEGA, CAMPECHE",4,61493,4009,-90.732,18.604,6
0,0,"HECELCHAKÁN, CAMPECHE",0,31482,4005,-90.135,20.177,6
0,0,"HOPELCHÉN, CAMPECHE",0,42391,4006,-89.845,19.746,6
22.5,22.5,"PALIZADA, CAMPECHE",1,8905,4007,-92.091,18.254,6
0,0,"TENABO, CAMPECHE",0,10905,4008,-90.226,20.04,6
31.6,31.6,"ACACOYAGUA, CHIAPAS",3,18986,7001,-92.675,15.341,6
0,0,"ACALA, CHIAPAS",0,32458,7002,-92.808,16.552,6
12.8,12.8,"ACAPETAHUA, CHIAPAS",2,31221,7003,-92.689,15.283,6
37.9,37.9,"ALDAMA, CHIAPAS",1,5275,7113,-92.688,16.918,6
0,0,"ALTAMIRANO, CHIAPAS",0,34836,7004,-92.039,16.736,6
8.6,8.6,"AMATÁN, CHIAPAS",1,23290,7005,-92.819,17.373,6
11.8,11.8,"AMATENANGO DE LA FRONTERA, CHIAPAS",2,33796,7006,-92.115,15.435,6
0,0,"AMATENANGO DEL VALLE, CHIAPAS",0,9308,7007,-92.435,16.529,6
7.4,7.4,"ANGEL ALBINO CORZO, CHIAPAS",1,27189,7008,-92.725,15.873,6
46.7,46.7,"ARRIAGA, CHIAPAS",10,42797,7009,-93.899,16.236,6
0,0,"BEJUCAL DE OCAMPO, CHIAPAS",0,8467,7010,-92.158,15.455,6
0,0,"BELLA VISTA, CHIAPAS",0,21228,7011,-92.245,15.583,6
30.7,30.7,"BENEMÉRITO DE LAS AMÉRICAS, CHIAPAS",3,19535,7114,-90.653,16.516,6
11.5,11.5,"BERRIOZÁBAL, CHIAPAS",3,52106,7012,-93.273,16.8,6
5.8,5.8,"BOCHIL, CHIAPAS",1,34760,7013,-92.89,16.996,6
4.2,4.2,"CACAHOATÁN, CHIAPAS",1,47918,7015,-92.168,14.99,6
10.7,10.7,"CATAZAJÁ, CHIAPAS",1,18750,7016,-92.016,17.728,6
26.7,26.7,"CHALCHIHUITÁN, CHIAPAS",2,14986,7022,-92.618,16.963,6
0,0,"CHAMULA, CHIAPAS",0,86557,7023,-92.689,16.788,6
0,0,"CHANAL, CHIAPAS",0,11802,7024,-92.26,16.66,6
0,0,"CHAPULTENANGO, CHIAPAS",0,7877,7025,-93.13,17.34,6
9.9,9.9,"CHENALHÓ, CHIAPAS",2,40242,7026,-92.626,16.894,6
5.9,5.9,"CHIAPA DE CORZO, CHIAPAS",3,102230,7027,-93.016,16.708,6
0,0,"CHIAPILLA, CHIAPAS",0,5979,7028,-92.72,16.57,6
0,0,"CHICOASÉN, CHIAPAS",0,5282,7029,-93.105,16.967,6
11.3,11.3,"CHICOMUSELO, CHIAPAS",2,35361,7030,-92.283,15.745,6
6.4,6.4,"CHILÓN, CHIAPAS",4,125579,7031,-92.272,17.105,6
7,7,"CINTALAPA, CHIAPAS",3,85206,7017,-93.72,16.699,6
0,0,"COAPILLA, CHIAPAS",0,9334,7018,-93.159,17.131,6
6.1,6.1,"COMITÁN DE DOMÍNGUEZ, CHIAPAS",5,163367,7019,-92.136,16.252,6
0,0,"COPAINALÁ, CHIAPAS",0,22738,7021,-93.211,17.094,6
0,0,"EL BOSQUE, CHIAPAS",0,22112,7014,-92.721,17.062,6
0,0,"EL PORVENIR, CHIAPAS",0,13872,7070,-92.28,15.456,6
18.1,18.1,"ESCUINTLA, CHIAPAS",3,33114,7032,-92.659,15.319,6
0,0,"FRANCISCO LEÓN, CHIAPAS",0,7710,7033,-93.273,17.286,6
10.3,10.3,"FRONTERA COMALAPA, CHIAPAS",4,77567,7034,-92.141,15.66,6
55.2,55.2,"FRONTERA HIDALGO, CHIAPAS",4,14485,7035,-92.176,14.778,6
10.7,10.7,"HUEHUETÁN, CHIAPAS",2,37336,7037,-92.384,15.019,6
7.9,7.9,"HUITIUPÁN, CHIAPAS",1,25182,7039,-92.686,17.173,6
0,0,"HUIXTÁN, CHIAPAS",0,23841,7038,-92.455,16.712,6
10.7,10.7,"HUIXTLA, CHIAPAS",3,56272,7040,-92.466,15.138,6
17,17,"IXHUATÁN, CHIAPAS",1,11752,7042,-93.008,17.293,6
18,18,"IXTACOMITÁN, CHIAPAS",1,11100,7043,-93.097,17.431,6
0,0,"IXTAPA, CHIAPAS",0,27864,7044,-92.906,16.804,6
32.3,32.3,"IXTAPANGAJOYA, CHIAPAS",1,6187,7045,-93.002,17.498,6
4.9,4.9,"JIQUIPILAS, CHIAPAS",1,40731,7046,-93.65,16.668,6
0,0,"JITOTOL, CHIAPAS",0,21659,7047,-92.862,17.068,6
26.3,26.3,"JUÁREZ, CHIAPAS",3,22832,7048,-93.193,17.608,6
8.1,8.1,"LA CONCORDIA, CHIAPAS",2,49369,7020,-92.688,16.117,6
