"state_code","age_group","sex","date","population"
1,1,1,"1990-01-01",209984
1,1,1,"1990-02-01",210612
1,1,1,"1990-03-01",211239
1,1,1,"1990-04-01",211865
1,1,1,"1990-05-01",212490
1,1,1,"1990-06-01",213113
1,1,1,"1990-07-01",213735
1,1,1,"1990-08-01",214356
1,1,1,"1990-09-01",214977
1,1,1,"1990-10-01",215595
1,1,1,"1990-11-01",216213
1,1,1,"1990-12-01",216830
1,1,1,"1991-01-01",217446
1,1,1,"1991-02-01",218061
1,1,1,"1991-03-01",218675
1,1,1,"1991-04-01",219287
1,1,1,"1991-05-01",219899
1,1,1,"1991-06-01",220510
1,1,1,"1991-07-01",221120
1,1,1,"1991-08-01",221729
1,1,1,"1991-09-01",222337
1,1,1,"1991-10-01",222944
1,1,1,"1991-11-01",223551
1,1,1,"1991-12-01",224157
1,1,1,"1992-01-01",224762
1,1,1,"1992-02-01",225366
1,1,1,"1992-03-01",225970
1,1,1,"1992-04-01",226573
1,1,1,"1992-05-01",227176
1,1,1,"1992-06-01",227778
1,1,1,"1992-07-01",228380
1,1,1,"1992-08-01",228981
1,1,1,"1992-09-01",229581
1,1,1,"1992-10-01",230181
1,1,1,"1992-11-01",230780
1,1,1,"1992-12-01",231378
1,1,1,"1993-01-01",231976
1,1,1,"1993-02-01",232572
1,1,1,"1993-03-01",233167
1,1,1,"1993-04-01",233761
1,1,1,"1993-05-01",234354
1,1,1,"1993-06-01",234945
1,1,1,"1993-07-01",235535
1,1,1,"1993-08-01",236124
1,1,1,"1993-09-01",236711
1,1,1,"1993-10-01",237297
1,1,1,"1993-11-01",237881
1,1,1,"1993-12-01",238465
1,1,1,"1994-01-01",239047
1,1,1,"1994-02-01",239627
1,1,1,"1994-03-01",240207
1,1,1,"1994-04-01",240785
1,1,1,"1994-05-01",241362
1,1,1,"1994-06-01",241938
1,1,1,"1994-07-01",242513
1,1,1,"1994-08-01",243086
1,1,1,"1994-09-01",243658
1,1,1,"1994-10-01",244228
1,1,1,"1994-11-01",244797
1,1,1,"1994-12-01",245364
1,1,1,"1995-01-01",245928
1,1,1,"1995-02-01",246490
1,1,1,"1995-03-01",247050
1,1,1,"1995-04-01",247608
1,1,1,"1995-05-01",248162
1,1,1,"1995-06-01",248714
1,1,1,"1995-07-01",249263
1,1,1,"1995-08-01",249809
1,1,1,"1995-09-01",250351
1,1,1,"1995-10-01",250891
1,1,1,"1995-11-01",251429
1,1,1,"1995-12-01",251963
1,1,1,"1996-01-01",252494
1,1,1,"1996-02-01",253023
1,1,1,"1996-03-01",253550
1,1,1,"1996-04-01",254073
1,1,1,"1996-05-01",254594
1,1,1,"1996-06-01",255113
1,1,1,"1996-07-01",255629
1,1,1,"1996-08-01",256143
1,1,1,"1996-09-01",256654
1,1,1,"1996-10-01",257163
1,1,1,"1996-11-01",257669
1,1,1,"1996-12-01",258174
1,1,1,"1997-01-01",258675
1,1,1,"1997-02-01",259175
1,1,1,"1997-03-01",259672
1,1,1,"1997-04-01",260167
